FID,FN,FDep,FArr,FDepD,FDepT,FArrT,FArrD,UDepD,UDepT,UArrT,UArrD,FFT,FTZD,Atype
3,102,LCA,ATH,7,425,530,7,7,245,350,7,105,0,320
4,102,LCA,ATH,6,425,530,6,6,245,350,6,105,0,320
5,102,LCA,ATH,5,425,530,5,5,245,350,5,105,0,320
6,102,LCA,ATH,4,425,530,4,4,245,350,4,105,0,320
7,102,LCA,ATH,3,425,530,3,3,245,350,3,105,0,320
8,102,LCA,ATH,2,425,530,2,2,245,350,2,105,0,320
9,102,LCA,ATH,1,425,530,1,1,245,350,1,105,0,320
10,103,ATH,LCA,7,575,670,7,7,395,490,7,95,0,320
11,103,ATH,LCA,6,575,670,6,6,395,490,6,95,0,320
12,103,ATH,LCA,5,575,670,5,5,395,490,5,95,0,320
13,103,ATH,LCA,4,575,670,4,4,395,490,4,95,0,320
14,103,ATH,LCA,3,575,670,3,3,395,490,3,95,0,320
15,103,ATH,LCA,2,575,670,2,2,395,490,2,95,0,320
16,103,ATH,LCA,1,575,670,1,1,395,490,1,95,0,320
