FID,FN,FDep,FArr,FDepD,FDepT,FArrT,FArrD,UDepD,UDepT,UArrT,UArrD,FFT,FTZD,Atype
3,0106,LCA,TLV,1,435,500,1,1,255,320,1,65,0,100
4,0107,TLV,LCA,1,560,625,1,1,380,445,1,65,0,100
5,0190,LCA,IOA,1,690,835,1,1,510,655,1,145,0,100
6,0191,IOA,LCA,1,895,1020,1,1,715,840,1,125,0,100
7,0104,LCA,TLV,1,1310,1375,1,1,1130,1195,1,65,0,100
8,0105,TLV,LCA,1,1425,50,2,1,1245,1310,1,65,0,100
9,0408,LCA,TLV,1,480,545,1,1,300,365,1,65,0,F70
10,1442,TLV,SMI,1,600,720,1,1,420,540,1,120,0,F70
11,1443,SMI,TLV,1,780,890,1,1,600,710,1,110,0,F70
12,1452,TLV,JMK,1,950,1070,1,1,770,890,1,120,0,F70
13,1453,JMK,TLV,1,1130,1245,1,1,950,1065,1,115,0,F70
14,0409,TLV,LCA,1,1305,1370,1,1,1125,1190,1,65,0,F70
15,0106,LCA,TLV,2,435,500,2,2,255,320,2,65,0,100
16,0107,TLV,LCA,2,560,625,2,2,380,445,2,65,0,100
17,1424,TLV,JMK,2,600,720,2,2,420,540,2,120,0,100
18,1425,JMK,TLV,2,780,890,2,2,600,710,2,110,0,100
19,0413,TLV,LCA,2,950,1015,2,2,770,835,2,65,0,100
20,0107,TLV,LCA,2,560,625,2,2,380,445,2,65,0,100
21,0120,LCA,TLV,2,1310,1375,2,2,1130,1195,2,65,0,100
22,0121,TLV,LCA,2,1425,50,3,2,1245,1310,2,65,0,100
23,0106,LCA,TLV,3,435,500,3,3,255,320,3,65,0,100
24,0107,TLV,LCA,3,560,625,3,3,380,445,3,65,0,100
25,0102,LCA,TLV,3,1145,1210,3,3,965,1030,3,65,0,100
26,0103,TLV,LCA,3,1270,1335,3,3,1090,1155,3,65,0,100
27,0414,LCA,TLV,3,480,545,3,3,300,365,3,65,0,F70
28,1492,TLV,PVK,3,600,755,3,3,420,575,3,155,0,F70
29,1493,PVK,TLV,3,815,955,3,3,635,775,3,140,0,F70
30,0415,TLV,LCA,3,1015,1080,3,3,835,900,3,65,0,F70
31,0106,LCA,TLV,4,445,510,4,4,265,330,4,65,0,100
32,0107,TLV,LCA,4,570,635,4,4,390,455,4,65,0,100
33,0124,LCA,TLV,4,1015,1080,4,4,835,900,4,65,0,100
34,0125,TLV,LCA,4,1140,1205,4,4,960,1025,4,65,0,100
35,0104,LCA,TLV,4,1310,1375,4,4,1130,1195,4,65,0,100
36,0105,TLV,LCA,4,1425,50,5,4,1245,1310,4,65,0,100
37,0932,LCA,TLV,4,420,485,4,4,240,305,4,65,0,F70
38,1418,TLV,RHO,4,545,645,4,4,365,465,4,100,0,F70
39,1419,RHO,TLV,4,705,795,4,4,525,615,4,90,0,F70
40,1422,TLV,HER,4,855,975,4,4,675,795,4,120,0,F70
41,1423,HER,TLV,4,1035,1145,4,4,855,965,4,110,0,F70
42,0935,TLV,LCA,4,1200,1265,4,4,1020,1085,4,65,0,F70
43,0106,LCA,TLV,5,435,500,5,5,255,320,5,65,0,100
44,0107,TLV,LCA,5,560,625,5,5,380,445,5,65,0,100
45,0190,LCA,IOA,5,690,835,5,5,510,655,5,145,0,100
46,0191,IOA,LCA,5,895,1020,5,5,715,840,5,125,0,100
47,0102,LCA,TLV,5,1080,1145,5,5,900,965,5,65,0,100
48,0103,TLV,LCA,5,1205,1270,5,5,1025,1090,5,65,0,100
49,0408,LCA,TLV,5,480,545,5,5,300,365,5,65,0,F70
50,1442,TLV,SMI,5,600,720,5,5,420,540,5,120,0,F70
51,1443,SMI,TLV,5,780,890,5,5,600,710,5,110,0,F70
52,1452,TLV,JMK,5,950,1070,5,5,770,890,5,120,0,F70
53,1453,JMK,TLV,5,1130,1245,5,5,950,1065,5,115,0,F70
54,0412,TLV,LCA,5,1305,1370,5,5,1125,1190,5,65,0,F70
55,0106,LCA,TLV,6,435,500,6,6,255,320,6,65,0,100
56,1492,TLV,PVK,6,560,700,6,6,380,520,6,140,0,100
57,1493,PVK,TLV,6,760,900,6,6,580,720,6,140,0,100
58,1428,TLV,PVK,6,955,1110,6,6,775,930,6,155,0,100
59,1429,PVK,TLV,6,1170,1310,6,6,990,1130,6,140,0,100
60,0479,TLV,LCA,6,1430,55,7,6,1250,1315,6,65,0,100
61,0102,LCA,TLV,6,1220,1285,6,6,1040,1105,6,65,0,100
62,0106,LCA,TLV,7,485,550,7,7,305,370,7,65,0,100
63,0107,TLV,LCA,7,610,670,7,7,430,490,7,60,0,100
64,0124,LCA,TLV,7,1015,1080,7,7,835,900,7,65,0,100
65,0125,TLV,LCA,7,1140,1205,7,7,960,1025,7,65,0,100
66,1422,TLV,HER,7,815,935,7,7,635,755,7,120,0,F70
67,1423,HER,TLV,7,980,1090,7,7,800,910,7,110,0,F70
68,1418,TLV,RHO,7,1165,1265,7,7,985,1085,7,100,0,F70
69,1423,RHO,TLV,7,1320,1410,7,7,1140,1230,7,90,0,F70
70,0481,TLV,LCA,1,30,95,1,7,1290,1355,7,65,0,F70
