1AIRLINE STANDARD SCHEDULE DATA SET                                                                                                                                                            001000001
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
2UU8  0008    31MAR1931DEC1929APR15--------------------------------------------------------------------                                                                                           EN1748000002
3 U8 01060101J01APR1928DEC191       LCA04150415+0300  TLV05200520+0300  100                                                                                                                       3
3 U8 01070101J31MAR1928DEC191       TLV06200620+0300  LCA07250725+0300  100                                                                                                                       4
3 U8 01900101J15APR1921OCT191       LCA08300830+0300  IOA10551055+0300  100                                                                                                                       5
3 U8 01910101J15APR1921OCT191       IOA11551155+0300  LCA14001400+0300  100                                                                                                                       6
3 U8 01040101J01APR1928DEC191       LCA18501850+0300  TLV19551955+0300  100                                                                                                                       7
3 U8 01050101J01APR1928DEC191       TLV20452045+0300  LCA21502150+0300  100                                                                                                                       8
3 U8 04080101J10JUN1916SEP191       LCA05000500+0300  TLV06050605+0300  F70                                                                                                                       9
3 U8 14420101J10JUN1916SEP191       TLV07000700+0300  SMI09000900+0300  F70                                                                                                                       10
3 U8 14430101J10JUN1916SEP191       SMI10001000+0300  TLV11501150+0300  F70                                                                                                                       11
3 U8 14520101J10JUN1916SEP191       TLV12501250+0300  JMK14501450+0300  F70                                                                                                                       12
3 U8 14530101J10JUN1909SEP191       JMK15501550+0300  TLV17451745+0300  F70                                                                                                                       13
3 U8 04090101J10JUN1909SEP191       TLV18451845+0300  LCA19501950+0300  F70                                                                                                                       14
3 U8 01060101J02APR1931DEC19 2      LCA04150415+0300  TLV05200520+0300  100                                                                                                                       15
3 U8 01070101J02APR1901JUL19 2      TLV06200620+0300  LCA07250725+0300  100                                                                                                                       16
3 U8 14240101J02JUL1927AUG19 2      TLV07000700+0300  JMK09000900+0300  100                                                                                                                       17
3 U8 14250101J02JUL1927AUG19 2      JMK10001000+0300  TLV11501150+0300  100                                                                                                                       18
3 U8 04130101J02JUL1927AUG19 2      TLV12501250+0300  LCA13551355+0300  100                                                                                                                       19
3 U8 01070101J28AUG1931DEC19 2      TLV06200620+0300  LCA07250725+0300  100                                                                                                                       20
3 U8 01200101J02 APOR31DEC19 2      LCA18501850+0300  TLV19551955+0300  100                                                                                                                       21
3 U8 01210101J02APR1931DEC19 2      TLV20452045+0300  LCA21502150+0300  100                                                                                                                       22
3 U8 01060101J03APR1918DEC19  3     LCA04150415+0300  TLV05200520+0300  100                                                                                                                       23
3 U8 01070101J03APR1918DEC19  3     TLV06200620+0300  LCA07250725+0300  100                                                                                                                       24
3 U8 01020101J03APR1918DEC19  3     LCA16051605+0300  TLV17101710+0300  100                                                                                                                       25
3 U8 01030101J03APR1918DEC19  3     TLV18101810+0300  LCA19151915+0300  100                                                                                                                       26
3 U8 04140101J15MAY1923OCT19  3     LCA05000500+0300  TLV06050605+0300  F70                                                                                                                       27
3 U8 14920101J15MAY1923OCT19  3     TLV07000700+0300  PVK09350935+0300  F70                                                                                                                       28
3 U8 14930101J15MAY1923OCT19  3     PVK10351035+0300  TLV12551255+0300  F70                                                                                                                       29
3 U8 04150101J15MAY1923OCT19  3     TLV13551355+0300  LCA15001500+0300  F70                                                                                                                       30
3 U8 01060101J04APR1921DEC19   4    LCA04250425+0300  TLV05300530+0300  100                                                                                                                       31
3 U8 01070101J04APR1921DEC19   4    TLV06300630+0300  LCA07350735+0300  100                                                                                                                       32
3 U8 01240101J04APR1921DEC19   4    LCA13551355+0300  TLV15001500+0300  100                                                                                                                       33
3 U8 01250101J04APR1921DEC19   4    TLV16001600+0300  LCA17051705+0300  100                                                                                                                       34
3 U8 01040101J04APR1921DEC19   4    LCA18501850+0300  TLV19551955+0300  100                                                                                                                       35
3 U8 01050101J04APR1921DEC19   4    TLV20452045+0300  LCA21502150+0300  100                                                                                                                       36
3 U8 09320101J26JUN1906OCT19   4    LCA04000400+0300  TLV05050505+0300  F70                                                                                                                       37
3 U8 14180101J26JUN1906OCT19   4    TLV06050605+0300  RHO07450745+0300  F70                                                                                                                       38
3 U8 14190101J26JUN1906OCT19   4    RHO08450845+0300  TLV10151015+0300  F70                                                                                                                       39
3 U8 14220101J27JUN1929AUG19   4    TLV11151115+0300  HER13151315+0300  F70                                                                                                                       40
3 U8 14230101J27JUN1929AUG19   4    HER14151415+0300  TLV16051605+0300  F70                                                                                                                       41
3 U8 09350101J26JUL1906OCT19   4    TLV17001700+0300  LCA18051805+0300  F70                                                                                                                       42
3 U8 01060101J05APR1927DEC19    5   LCA04150415+0300  TLV05200520+0300  100                                                                                                                       43
3 U8 01070101J05APR1927DEC19    5   TLV06200620+0300  LCA07250725+0300  100                                                                                                                       44
3 U8 01900101J12APR1927DEC19    5   LCA08300830+0300  IOA10551055+0300  100                                                                                                                       45
3 U8 01910101J12APR1927DEC19    5   IOA11551155+0300  LCA14001400+0300  100                                                                                                                       46
3 U8 01020101J05APR1927DEC19    5   LCA15001500+0300  TLV16051605+0300  100                                                                                                                       47
3 U8 01030101J05APR1927DEC19    5   TLV17051705+0300  LCA18101810+0300  100                                                                                                                       48
3 U8 04080101J07JUN1913SEP19    5   LCA05000500+0300  TLV06050605+0300  F70                                                                                                                       49
3 U8 14420101J07JUN1913SEP19    5   TLV07000700+0300  SMI09000900+0300  F70                                                                                                                       50
3 U8 14430101J07JUN1913SEP19    5   SMI10001000+0300  TLV11501150+0300  F70                                                                                                                       51
3 U8 14520101J07JUN1906SEP19    5   TLV12501250+0300  JMK14501450+0300  F70                                                                                                                       52
3 U8 14530101J07JUN1906SEP19    5   JMK15501550+0300  TLV17451745+0300  F70                                                                                                                       53
3 U8 04120101J07JUN1913SEP19    5   TLV18451845+0300  LCA19501950+0300  F70                                                                                                                       54
3 U8 01060101J06APR1928DEC19     6  LCA04150415+0300  TLV05200520+0300  100                                                                                                                       55
3 U8 14920101J18MAY1919OCT19     6  TLV06200620+0300  PVK08400840+0300  100                                                                                                                       56
3 U8 14930101J18MAY1919OCT19     6  PVK09400940+0300  TLV12001200+0300  100                                                                                                                       57
3 U8 14280101J15JUN1931AUG19     6  TLV12551255+0300  PVK15301530+0300  100                                                                                                                       58
