city,gdp,sick
Honolulu,69252,247
Louisville,72093,1153
Portland,164419,1049
Oklahoma City,81016,1032
Washington DC,540684,3737
Milwaukee,103731,1435
Richmond,85792,2175
Kansas City,132703,2088
Stamford,89387,6388
Salt Lake City,94306,1408
Cleveland,134369,2711
Raleigh,83665,1119
Columbus,129328,2809
Cincinnati,141042,2940
Memphis,76749,1587
St Louis,169839,2713
Hartford,99465,8159
Virginia Beach,100976,2978
Indianapolis,140762,4701
Providence,87414,7914
Pittsburgh,152840,7233
San Jose,331020,2023
Denver,214157,6142
Nashville,132202,2280
Sacramento,145479,2402
Seattle,392036,4214
Charlotte,169862,2121
New Orleans,80287,5896
Austin,146784,1822
Jacksonville,83186,1897
Las Vegas,122423,2768
San Antonio,133633,2087
Minneapolis,263690,2864
San Diego,245138,3392
Detroit,267731,13857
Baltimore,205313,9150
Orlando,138947,3173
Riverside,187109,4726
San Francisco,548613,4808
Philadelphia,444148,19045
Tampa,159002,3887
Boston,463570,38489
Atlanta,397261,11957
Houston,478778,5781
Dallas,512509,6196
Phoenix,255211,4238
Miami,354740,7502
Chicago,689464,34288
Los Angeles,1047661,13428
New York,1772319,150761
