t01_smooth_or_features_a01_smooth_count,t01_smooth_or_features_a01_smooth_weight,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a01_smooth_weighted_fraction,t01_smooth_or_features_a01_smooth_debiased,t01_smooth_or_features_a02_features_or_disk_count,t01_smooth_or_features_a02_features_or_disk_weight,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a02_features_or_disk_weighted_fraction,t01_smooth_or_features_a02_features_or_disk_debiased,target
34,34,0.739,0.767,0.8821604,11,10.337,0.239,0.233,0.233,0
29,29,0.853,0.869,0.869,1,1,0.029,0.03,0.03,0
40,40,0.784,0.8,0.8,4,4,0.078,0.08,0.08,0
36,35.449,0.8,0.815,0.815,8,8,0.178,0.184,0.184,0
37,36.06,0.822,0.818,0.874222,5,5,0.111,0.113,0.113113105,0
36,36,0.878,0.878,0.878,2,2,0.049,0.049,0.049,0
40,40,0.833,0.849,0.849,6,6,0.125,0.127,0.127,0
30,30,0.833,0.833,0.833,3,3,0.083,0.083,0.083,0
30,30,0.682,0.697,0.81371045,11,11,0.25,0.256,0.256,0
26,26,0.578,0.588,0.8062045,18,18,0.4,0.407,0.4074074,0
40,40,0.833,0.833,0.833,6,6,0.125,0.125,0.125,0
43,43,0.915,0.915,0.915,2,2,0.043,0.043,0.043,0
40,40,0.816,0.849,0.849,3,3,0.061,0.064,0.064,0
35,35,0.795,0.795,0.82734364,8,8,0.182,0.182,0.182,0
29,28.176,0.906,0.933,0.933,1,1,0.031,0.033,0.033,0
37,37,0.841,0.86,0.86,3,3,0.068,0.07,0.07,0
29,29,0.763,0.802,0.802,7,6.112,0.184,0.169,0.169,0
31,30.972,0.886,0.886,0.886,1,1,0.029,0.029,0.029,0
36,36,0.857,0.857,0.857,5,5,0.119,0.119,0.119,0
38,38,0.826,0.826,0.826,4,4,0.087,0.087,0.087,0
34,34,0.895,0.895,0.895,4,4,0.105,0.105,0.105,0
27,27,0.818,0.818,0.818,2,2,0.061,0.061,0.061,0
34,34,0.85,0.859,0.859,2,2,0.05,0.051,0.051,0
29,29,0.806,0.824,0.824,4,3.182,0.111,0.09,0.09,0
35,33.485,0.714,0.716,0.86312664,14,13.282,0.286,0.284,0.284,0
34,34,0.756,0.756,0.8217945,10,10,0.222,0.222,0.222,0
38,38,0.809,0.811,0.811,7,7,0.149,0.149,0.149,0
36,36,0.857,0.857,0.89527350000000006,3,3,0.071,0.071,0.07107107,0
36,36,0.818,0.818,0.818,6,6,0.136,0.136,0.136,0
36,36,0.8,0.8,0.8,8,8,0.178,0.178,0.178,0
35,35,0.833,0.833,0.833,5,5,0.119,0.119,0.119,0
40,40,0.816,0.84,0.8156698,4,3.306,0.082,0.069,0.069,0
40,40,0.87,0.888,0.888,5,4.035,0.109,0.09,0.09,0
33,33,0.805,0.824,0.824,7,7,0.171,0.175,0.175,0
31,31,0.838,0.838,0.838,4,4,0.108,0.108,0.108,0
26,26,0.667,0.667,0.813529,12,12,0.308,0.308,0.30769232,0
39,39,0.867,0.9,0.9,2,2,0.044,0.046,0.046,0
38,38,0.826,0.826,0.826,4,4,0.087,0.087,0.087,0
40,40,0.889,0.889,0.889,2,2,0.044,0.044,0.044,0
37,37,0.86,0.86,0.86,4,4,0.093,0.093,0.093,0
37,37,0.86,0.881,0.881,5,5,0.116,0.119,0.119,0
39,39,0.78,0.864,0.864,4,3.158,0.08,0.07,0.07,0
25,25,0.806,0.833,0.833,5,5,0.161,0.167,0.167,0
35,35,0.946,0.946,0.946,1,1,0.027,0.027,0.027,0
33,32.123,0.846,0.847,0.8011739,5,4.931,0.128,0.13,0.12987013,0
22,22,0.611,0.611,0.82075244,12,12,0.333,0.333,0.333,0
32,32,0.821,0.821,0.821,6,6,0.154,0.154,0.154,0
43,43,0.878,0.878,0.88631433,5,5,0.102,0.102,0.102,0
37,35.817,0.822,0.817,0.8747296,8,8,0.178,0.183,0.183,0
40,40,0.851,0.851,0.851,5,5,0.106,0.106,0.106,0
43,42.121,0.86,0.857,0.857,2,2,0.04,0.041,0.041,0
28,28,0.966,0.966,0.966,1,1,0.034,0.034,0.034,0
37,37,0.804,0.804,0.86809635,6,6,0.13,0.13,0.13013013,0
41,41,0.932,0.932,0.945746,2,2,0.045,0.045,0.045,0
34,34,0.85,0.85,0.85,3,3,0.075,0.075,0.075,0
32,32,0.821,0.821,0.821,6,6,0.154,0.154,0.154,0
33,33,0.892,0.892,0.86182237,3,3,0.081,0.081,0.081,0
47,47,0.979,0.979,0.979,0,0,0,0,0,0
39,39,0.907,0.907,0.907,2,2,0.047,0.047,0.047,0
37,37,0.822,0.845,0.845,4,4,0.089,0.091,0.091,0
36,36,0.9,0.922,0.922,2,2,0.05,0.051,0.051,0
38,38,0.884,0.884,0.8935325,5,5,0.116,0.116,0.116,0
35,35,0.729,0.746,0.8477293,11,10.842,0.229,0.231,0.23123124,0
41,41,0.854,0.861,0.861,3,3,0.062,0.063,0.063,0
38,38,0.844,0.86,0.86,4,4,0.089,0.091,0.091,0
27,27,0.818,0.818,0.8451129,6,6,0.182,0.182,0.182,0
38,38,0.809,0.842,0.842,5,4.06,0.106,0.09,0.09,0
37,37,0.86,0.88,0.88,2,2,0.047,0.048,0.048,0
37,36.22,0.86,0.858,0.858,6,6,0.14,0.142,0.142,0
35,34.268,0.814,0.848,0.848,6,6,0.14,0.148,0.148,0
32,32,0.865,0.865,0.865,3,3,0.081,0.081,0.081,0
33,33,0.917,0.917,0.917,1,1,0.028,0.028,0.028,0
42,42,0.84,0.856,0.856,3,3,0.06,0.061,0.061,0
38,37.383,0.844,0.842,0.86090845,3,3,0.067,0.068,0.068,0
32,32,0.865,0.865,0.865,5,5,0.135,0.135,0.135,0
31,31,0.795,0.812,0.81991774,4,4,0.103,0.105,0.105,0
38,38,0.864,0.864,0.864,6,6,0.136,0.136,0.136,0
39,39,0.929,0.929,0.929,2,2,0.048,0.048,0.048,0
37,37,0.949,0.949,0.9534722,2,2,0.051,0.051,0.051,0
38,38,0.884,0.902,0.902,4,4,0.093,0.095,0.095,0
38,38,0.792,0.813,0.813,3,3,0.062,0.064,0.064,0
36,36,0.857,0.857,0.857,3,3,0.071,0.071,0.071,0
31,31,0.886,0.886,0.886,4,4,0.114,0.114,0.114,0
37,37,0.804,0.804,0.804,8,8,0.174,0.174,0.174,0
44,44,0.8,0.8,0.8,9,9,0.164,0.164,0.164,0
50,50,0.926,0.946,0.9484726,1,1,0.019,0.019,0.019,0
25,24.298,0.833,0.858,0.80810297,4,4,0.133,0.141,0.141,0
33,33,0.825,0.825,0.825,6,6,0.15,0.15,0.15,0
45,45,0.918,0.918,0.918,4,4,0.082,0.082,0.082,0
27,27,0.844,0.87,0.87,3,3,0.094,0.097,0.097,0
28,28,0.8,0.8,0.8,6,6,0.171,0.171,0.171,0
30,30,0.811,0.833,0.833,1,1,0.027,0.028,0.028,0
41,40.477,0.872,0.887,0.887,3,3,0.064,0.066,0.066,0
34,34,0.872,0.872,0.872,5,5,0.128,0.128,0.128,0
28,28,0.848,0.848,0.848,2,2,0.061,0.061,0.061,0
34,34,0.81,0.829,0.85130894,5,5,0.119,0.122,0.122,0
36,36,0.818,0.818,0.818,5,5,0.114,0.114,0.114,0
40,39.128,0.889,0.887,0.887,4,4,0.089,0.091,0.091,0
34,34,0.791,0.819,0.819,4,4,0.093,0.096,0.096,0
52,52,0.812,0.816,0.816,9,9,0.141,0.141,0.141,0
29,29,0.853,0.853,0.853,5,5,0.147,0.147,0.147,0
35,34.508,0.854,0.852,0.87085193,4,4,0.098,0.099,0.099,0
47,47,0.855,0.855,0.87115705,5,5,0.091,0.091,0.090909086,0
37,36.239,0.787,0.8,0.84234554,9,9,0.191,0.199,0.199,0
40,40,0.851,0.863,0.863,3,2.343,0.064,0.051,0.051,0
41,41,0.82,0.833,0.833,7,7,0.14,0.142,0.142,0
44,43.085,0.88,0.878,0.878,3,3,0.06,0.061,0.061,0
40,40,0.889,0.89,0.9247121,3,3,0.067,0.067,0.067,0
37,37,0.771,0.818,0.818,8,8,0.167,0.177,0.177,0
32,32,0.821,0.821,0.8307799,5,5,0.128,0.128,0.128,0
44,44,0.815,0.815,0.815,7,7,0.13,0.13,0.13,0
24,24,0.923,0.923,0.923,1,1,0.038,0.038,0.038,0
38,37.145,0.905,0.903,0.87502736,3,3,0.071,0.073,0.073,0
37,37,0.902,0.906,0.906,3,3,0.073,0.073,0.073,0
38,38,0.905,0.909,0.9246501,3,2.795,0.071,0.067,0.067,0
35,35,0.854,0.854,0.8636908,5,5,0.122,0.122,0.122,0
36,36,0.878,0.9,0.9,4,4,0.098,0.1,0.1,0
31,30.637,0.816,0.814,0.8200334,3,3,0.079,0.08,0.08,0
28,28,0.8,0.8,0.8,4,4,0.114,0.114,0.114,0
35,35,0.833,0.833,0.89567614,5,5,0.119,0.119,0.119,0
32,32,0.744,0.762,0.8180543,8,8,0.186,0.19,0.19,0
36,36,0.75,0.776,0.8207866,10,10,0.208,0.216,0.216,0
45,45,0.938,0.938,0.938,2,2,0.042,0.042,0.042,0
45,45,0.833,0.84,0.84,3,3,0.056,0.056,0.056,0
36,35.17,0.857,0.854,0.8725062,4,4,0.095,0.097,0.097,0
40,40,0.833,0.85,0.85,5,5,0.104,0.106,0.106,0
46,43.963,0.836,0.83,0.83,6,6,0.109,0.113,0.113,0
31,30.277,0.816,0.834,0.834,3,3,0.079,0.083,0.083,0
43,43,0.878,0.886,0.886,4,4,0.082,0.082,0.082,0
43,42.573,0.915,0.954,0.954,1,1,0.021,0.022,0.022,0
28,28,0.757,0.799,0.8053699,3,3,0.081,0.086,0.086,0
33,32.073,0.805,0.82,0.83128315,3,3,0.073,0.077,0.077,0
37,37,0.822,0.822,0.8490681,6,6,0.133,0.133,0.13313313,0
25,25,0.833,0.833,0.833,4,4,0.133,0.133,0.133,0
42,42,0.933,0.953,0.91726065,1,1,0.022,0.023,0.023,0
34,34,0.773,0.789,0.87304056,7,7,0.159,0.162,0.16216217,0
45,44.415,0.918,0.917,0.917,4,4,0.082,0.083,0.083,0
36,36,0.857,0.857,0.9011001,4,4,0.095,0.095,0.095,0
47,47,0.825,0.839,0.839,7,7,0.123,0.125,0.125,0
40,40,0.93,0.93,0.94161886,3,3,0.07,0.07,0.07,0
39,38.892,0.867,0.866,0.82713693,5,5,0.111,0.111,0.11111111,0
41,41,0.891,0.898,0.898,3,3,0.065,0.066,0.066,0
33,33,0.825,0.825,0.825,4,4,0.1,0.1,0.1,0
47,47,0.81,0.81,0.81,8,8,0.138,0.138,0.138,0
33,33,0.846,0.863,0.8455539,4,4,0.103,0.105,0.105,0
